Employees by rezidence from Active Population 2019 (%),Living space per person 2020 (sqm),Voters present at the polls for the referendum 2018 (%),Locality with public airports (dummy),Primary education (4 grades) 2011 (%),Elderly (65+) 2020 (%),Relative poverty 2016 (%),Neoprotestants from Population 2011 (%),Migration experience,Maximum Covid 19 Incidence Rate 3rd Wave,Core city,Peri-urban City,Peri-urban Village,Size 100T+,School enrollment to young population 2019 (%),Vaccination Rate 05.10.2021,siruta,Vaccination Rate 26.05.2021
0.148594378,23.25363128,0.448780488,0,0.365024819,0.255493482,0.24015748,0.0374,36.12277172,5.6,0,0,1,0,0.503401361,18.78,153776.0,13.14
0.2129653739999999,21.38485518,0.203539823,0,0.1410489419999999,0.19458142,0.100222959,0.0167,57.04273482,0.63,1,0,0,0,0.8818217509999999,29.6,70352.0,21.73
0.041169451,18.26434494,0.232198142,0,0.305450416,0.182421227,0.2598039219999999,0.0016,41.36387146,1.62,0,0,0,0,0.607518797,13.23,74554.0,5.98
0.076409496,25.10678442,0.178226918,0,0.274451939,0.308309916,0.411081992,0.0011,42.58466032,2.79,0,0,1,0,0.752161383,18.4,70520.0,12.36
0.077769049,17.4689038,0.290030211,0,0.332131591,0.310961969,0.280203476,0.0541,17.57516428,2.77,0,0,0,0,0.479087452,13.54,154996.0,8.45
0.197841727,23.24200728,0.258321613,0,0.31621937,0.296641036,0.229858725,0.0095,33.4716309,3.23,0,0,0,0,0.5136778120000001,12.82,102446.0,9.34
0.041767554,18.93780069,0.320322444,0,0.281796502,0.240893471,0.260738255,0.0,41.58335277,0.35,0,0,0,0,0.609126984,11.87,72533.0,7.55
0.063307494,28.16513761,0.128928284,0,0.2452054789999999,0.302752294,0.421228304,0.0,33.20260741,2.1,0,0,0,0,0.601941748,17.84,74224.0,13.58
0.1977291839999999,17.39150943,0.123372041,0,0.177063853,0.187849886,0.160128909,0.0158,59.24601063,1.98,1,0,0,0,0.827487062,18.72,70316.0,13.76
0.053075397,16.7212957,0.504172989,0,0.1539842069999999,0.198524695,0.420144336,0.0076,31.81922786,1.61,0,0,1,0,0.4922394679999999,22.4,126647.0,16.96
0.061894109,19.60723627,0.175641671,0,0.324616023,0.274193548,0.19012945,0.0007,46.99597107,0.44,0,0,0,0,0.581993569,7.28,129040.0,4.45
0.075070822,14.43567753,0.15958498,0,0.249794577,0.252144082,0.459826947,0.0033,51.9691893,3.03,0,0,1,0,0.557324841,13.99,153204.0,10.1
0.053614458,22.03138848,0.239751553,0,0.2070385619999999,0.267355982,0.360265827,0.0,26.93123556,0.0,0,0,0,0,0.630363036,19.23,127144.0,12.53
0.09202454,20.1136537,0.291187739,0,0.160296846,0.26201373,0.39028777,0.0,32.87363488,0.73,0,0,1,0,0.591503268,16.16,128524.0,11.93
0.034044145,26.6581084,0.2173802889999999,0,0.347562346,0.271231073,0.220482438,0.0012,31.02014511,1.08,0,0,1,0,0.541946309,20.65,73031.0,13.31
0.116691843,19.21480068,0.175354251,0,0.291887125,0.264206955,0.4300141389999999,0.0287,42.6859415,1.28,0,0,0,0,0.62190352,9.95,101001.0,5.79
