siruta,Maximum Covid 19 Incidence Rate 3rd Wave,population,Vaccination Dose 1 26.05.2021,Vaccination Rate 26.05.2021,County,Administrative Territorial Unit,Vaccination Rate 05.10.2021,Vaccination Dose 1 05.10.2021,Covid 19 Incidence Rate 20.10.2021,Industrial growing labour market 2011-2018 (dummy),Services growing labour market 2011-2018 (dummy),Trade & Logistics growing labour market 2011-2018 (dummy),Core city (dummy),Periurban locality (dummy),Employees by company from Active Population 2018 (%),Employees by rezidence from Active Population 2019 (%),School enrollment to young population 2018 (%),School enrollment to young population 2019 (%),Elderly (65+) 2018 (%),Elderly (65+) 2019 (%),Elderly (65+) 2020 (%),Primary education (4 grades) 2011 (%),Lower secondary education (8 grades) 2011 (%),Relative poverty 2016 (%),Voters present at the polls for the referendum 2018 (%),"Votes cast for ""YES"" at the referendum 2018 (%)",People pe sqkm 2018,Living space per person 2018 (sqm),Living space per person 2019 (sqm),Living space per person 2020 (sqm),Distances on roads (average in km to all cities in Romania),Gravity distances on the roads (m & pop adj.),Gravity distances on the roads (m & pop adj.) regional cut,Degrees Weighted Out (network road distances),Locality with public airports (dummy),Locality with commercial airports (dummy),Employees by rezidece from Active Population 2018 (%),Neoprotestants from Population 2011 (%),Migration experience,Gravity distances on the roads (in minutes) regional cut,The distanes until fist city of 200mii+ (ln),Core city,Peri-urban City,Peri-urban Village,Village,Size 100T+,Family doctors 1000 inhabitants,Marginalized 1000 inhabitants,Roma proportion,Socialist investements,Elderly Minimum Guarantee 2020,Elderly Retired 2020
130375.0,1.8,1648.0,185,11.23,Olt,Vișina Nouă,22.82,376.0,5.56,0,0,1,0,1,0.03468781,0.077620968,0.594871795,0.5561497329999999,0.268219833,0.272616879,0.273058252,0.24120603,0.5829145729999999,0.630599186,0.19571231,0.165283541,790.7416155000001,17.565113500000002,17.85306618,17.84223301,364.8282612,111.83919679999998,1.806662356,1.33924,0,0,0.0763132,0.0,17.57516428,0.549966,4.316153891,0,0,1,0,0,0.597,0.0,0.01,-0.307,0.094227583,0.178830669
152662.0,0.7,1335.0,105,7.87,Teleorman,Crângu,9.74,130.0,15.28,1,0,0,0,0,0.091612903,0.091390728,0.364444444,0.375,0.264409222,0.26860119,0.267118134,0.378294574,0.686046512,0.480742779,0.442307692,0.409965035,384.8073191,17.98342939,18.57217262,18.78179082,368.785059,152.6018737,2.130888532,1.35325,0,0,0.0851613,0.0361,58.96534195,0.475117,4.654912278,0,0,0,1,0,0.719,0.0,0.167,-1.388,0.082937261,0.184180873
74867.0,0.75,1336.0,152,11.38,Dolj,Cârna,17.14,229.0,0.75,0,0,0,0,0,0.133136095,0.060294118,0.741463415,0.723502304,0.322046652,0.314690529,0.311746988,0.26405868,0.709046455,0.490855889,0.411231884,0.377717391,781.3051146,26.05417607,25.82102908,26.07379518,382.1793466,103.6290837,1.78947227,1.15513,0,0,0.0606509,0.0213,17.57516428,0.544733,4.003690194,0,0,0,1,0,0.748,0.0,0.125,-0.231,0.079246622,0.232500366
72463.0,2.11,2775.0,202,7.28,Dolj,Gighera,11.39,316.0,1.79,1,0,0,0,0,0.041105121,0.037012113,0.547785548,0.5515695070000001,0.288544669,0.279781421,0.280086737,0.291830182,0.6924723509999999,0.309407666,0.456654991,0.426007005,1026.627219,24.78530259,25.06520947,24.86591977,387.145037,106.1957568,1.794970538,1.20024,0,0,0.037062,0.0022,35.54386327,0.546407,3.996364154,0,0,0,1,0,0.719,0.0,0.08,-0.231,0.071198531,0.208888206
72980.0,4.03,1226.0,229,18.68,Dolj,Măceșu de Jos,24.8,304.0,2.45,0,0,0,0,0,0.0610932479999999,0.098883573,0.517857143,0.5786163520000001,0.3512429829999999,0.344799345,0.3428805239999999,0.2487765089999999,0.653344209,0.45984252,0.6302521010000001,0.559290383,731.8075117000001,28.60144346,29.21048321,29.18657938,392.7135186,100.7880863,1.7832456980000002,1.14779,0,0,0.0932476,0.0,27.05937913,0.542837,3.94931879,0,0,0,1,0,0.799,0.0,0.003,-0.231,0.08716082,0.255719704
72034.0,0.21,4844.0,374,7.72,Dolj,Desa,14.66,710.0,0.0,0,1,0,0,0,0.0222813439999999,0.04006734,0.61512792,0.6127562639999999,0.183577832,0.188698701,0.189907312,0.248838915,0.729650452,0.6995734309999999,0.204504735,0.191195291,1226.08044,21.50977995,21.77149928,21.71410917,414.5796703,90.49933657,1.759330311,1.06265,0,0,0.0369139,0.0068,40.73687583,0.535557,4.403054002,0,0,0,1,0,0.611,0.0,0.004,-0.231,0.048274766,0.141632546
126148.0,0.33,3042.0,247,8.12,Olt,Cilieni,13.84,421.0,1.34,0,0,0,0,1,0.014477212,0.061546841,0.965260546,0.944297082,0.261980831,0.265818656,0.266118421,0.314471879,0.6700960220000001,0.560074511,0.314690529,0.269202088,402.5205761,22.69201278,23.16568819,23.36381579,369.9020176,96.98722843,1.774670833,1.23901,0,0,0.0627346,0.0028,35.99730331,0.540227,4.3770140930000005,0,0,1,0,0,0.639,0.0,0.0,-0.307,0.091832769,0.174285652
127750.0,0.83,2408.0,185,7.68,Olt,Obârșia,15.45,372.0,10.21,0,0,0,0,1,0.010021475,0.0861943019999999,0.590909091,0.55801105,0.278846154,0.276473012,0.270495214,0.24980484,0.649102264,0.620557891,0.386048734,0.347826087,671.6899892000001,20.17508013,20.7486609,20.95588847,367.7170163,106.0884544,1.794743018,1.26822,0,0,0.0866141999999999,0.001,31.96554651,0.546337,4.131961426,0,0,1,0,0,0.4,0.0,0.017,-0.307,0.093343123,0.177152091
73996.0,0.91,8738.0,773,8.85,Dolj,Sadova,14.08,1230.0,1.69,1,0,0,0,1,0.017228029,0.030460767,0.413510747,0.3660855779999999,0.163323456,0.166339605,0.163806909,0.381138897,0.7884905090000001,0.6791785509999999,0.394194616,0.382463528,1873.185312,13.12058354,13.28869906,13.168611300000002,375.1830007,114.7357446,1.812464188,1.24614,0,0,0.0321332,0.0233,55.18552245,0.551732,3.939638172,0,0,1,0,0,0.569,0.0,0.176,-0.231,0.041639999,0.12216691
72579.0,0.0,2541.0,193,7.6,Dolj,Gângiova,13.89,353.0,1.56,0,0,1,0,0,0.016499283,0.032420749,0.4921568629999999,0.509127789,0.2390205989999999,0.23871221,0.234301413,0.3863958429999999,0.7326405290000001,0.698932927,0.171157685,0.156686627,1211.393597,19.93237466,20.13584609,20.1377551,377.5601329,111.1968402,1.805357923,1.21394,0,0,0.0322812,0.0266,31.87154348,0.549569,3.856510295,0,0,0,1,0,0.389,0.0,0.101,-0.231,0.059559823,0.17474159
